[0. 0.]
[0.12163753 0.42055747]
[0.12104216 0.42532325]
[0.12047034 0.43004352]
[0.11991955 0.43471521]
[0.11938751 0.43933526]
[0.11887206 0.44390044]
[0.11837126 0.44840753]
[0.11788324 0.45285362]
[0.11740644 0.45723543]
[0.11693928 0.46154991]
[0.11646166 0.46597388]
[0.11598959 0.47047359]
[0.11552093 0.47506481]
[0.11505711 0.47973508]
[0.11459589 0.48448721]
[0.11413678 0.48931456]
[0.1136782  0.49421489]
[0.11321922 0.49918294]
[0.11275854 0.50421393]
[0.11229509 0.50930208]
[0.11182771 0.51444143]
[0.11135533 0.51962483]
[0.11087684 0.524845  ]
[0.11039115 0.53009403]
[0.10989711 0.53536332]
[0.10939364 0.54064381]
[0.10887964 0.54592592]
[0.108354   0.55119991]
[0.10781783 0.55646038]
[0.10729902 0.56173092]
[0.10680711 0.56698215]
[0.10633874 0.57221413]
[0.10589223 0.57740992]
[0.10546399 0.58256179]
[0.10505144 0.58765692]
[0.10465085 0.59268069]
[0.10424808 0.59756422]
[0.10383032 0.60233468]
[0.10339896 0.60697109]
[0.10295269 0.61147642]
[0.10249352 0.6158402 ]
[0.10200696 0.6202805 ]
[0.10150351 0.6249243 ]
[0.10100507 0.62969154]
[0.10050274 0.63461554]
[0.09999896 0.63966256]
[0.09948809 0.6448338 ]
[0.09896867 0.65010768]
[0.09843674 0.65547222]
[0.09788959 0.66090727]
[0.0973239  0.66639429]
[0.09673662 0.67191142]
[0.09612449 0.67743659]
[0.09549952 0.68287122]
[0.09485314 0.68822116]
[0.09418981 0.69348156]
[0.09352504 0.69860989]
[0.09285503 0.70357448]
[0.09217397 0.70836872]
[0.09147971 0.7129755 ]
[0.0907693 0.7173866]
[0.09004112 0.72159225]
[0.08929363 0.72558725]
[0.0885261  0.72936732]
[0.08774059 0.73317522]
[0.08698221 0.73735029]
[0.08632278 0.74170744]
[0.08575162 0.74633354]
[0.08527985 0.75116175]
[0.08489934 0.75619859]
[0.08460906 0.76140267]
[0.08440214 0.76674914]
[0.08427312 0.77219611]
[0.08421405 0.77770346]
[0.08421667 0.78322411]
[0.08427221 0.78870451]
[0.08436993 0.79409868]
[0.08449935 0.79935908]
[0.0846496  0.80444247]
[0.08481016 0.80955881]
[0.08501215 0.81486696]
[0.08528993 0.82019323]
[0.08561427 0.82554764]
[0.08597455 0.83083028]
[0.08635094 0.83600259]
[0.08673121 0.84099543]
[0.08712436 0.84573793]
[0.08751988 0.85020196]
[0.08782876 0.85570812]
[0.08824711 0.86154079]
[0.08870189 0.86799955]
[0.08921996 0.8747378 ]
[0.08974542 0.8816976 ]
[0.09025007 0.88861096]
[0.09067839 0.89530241]
[0.09108188 0.90276289]
[0.09166032 0.91011763]
[0.09233238 0.91744685]
[0.09308822 0.92422605]
[0.0936517  0.93220454]
[0.09409928 0.94075722]
[0.09432015 0.94924659]
[0.0941623  0.95688385]
[0.09344651 0.9641605 ]
[0.09221964 0.97096771]
[0.09048569 0.97632301]
[0.08810163 0.98033702]
[0.08521318 0.98352784]
[0.08198695 0.98573267]
