TR,A,L,T,Force,Disp
1,120,300,2,0,182.9280701
1,120,300,2,0,183.6843872
1,120,300,2,0,184.4407044
1,120,300,2,0,185.1970062
1,120,300,2,0,185.9533234
1,120,300,2,0,186.7096252
1,120,300,2,0,187.4659424
1,120,300,2,0,188.2222595
1,120,300,2,0,188.9785614
1,120,300,2,0,189.7348785
1,120,300,2,0,190.4911957
1,120,300,2,0,191.2474976
1,120,300,2,0,192.0038147
1,120,300,2,0,192.7601166
1,120,300,2,0,193.5164337
1,120,300,2,0,194.2727509
1,120,300,2,0,195.0290527
1,120,300,2,0,195.7853699
1,120,300,2,0,196.541687
1,120,300,2,0,197.2979889
1,120,300,2,0,198.054306
1,120,300,2,0,198.8106079
1,120,300,2,0,199.5669251
1,120,300,2,0,200.3232422
1,120,300,2,0,201.0795441
1,120,300,2,0,201.8358612
1,120,300,2,0,202.5921783
1,120,300,2,0,203.3484802
1,120,300,2,0,204.1047974
1,120,300,2,0,204.8611145
1,120,300,2,0,205.6174316
1,120,300,2,0,206.3737335
1,120,300,2,0,207.1300507
1,120,300,2,0,207.8863525
1,120,300,2,0,208.6426697
1,120,300,2,0,209.3989868
1,120,300,2,0,210.155304
1,120,300,2,0,210.9116058
1,120,300,2,0,211.667923
1,120,300,2,0,212.4242401
1,120,300,2,0,213.180542
1,120,300,2,0,213.9368591
1,120,300,2,0,214.693161
1,120,300,2,0,215.4494782
1,120,300,2,0,216.2057953
1,120,300,2,0,216.9620972
1,120,300,2,0,217.7184143
1,120,300,2,0,218.4747315
1,120,300,2,0,219.2310333
1,120,300,2,0,219.9873505
1,120,300,2,0,220.7436676
1,120,300,2,0,221.4999695
1,120,300,2,0,222.2562866
1,120,300,2,0,223.0126038
1,120,300,2,0,223.7689056
1,120,300,2,0,224.5252228
1,120,300,2,0,225.2815247
1,120,300,2,0,226.0378418
1,120,300,2,0,226.7941589
1,120,300,2,0,227.5504608
1,120,300,2,0,228.306778
1,120,300,2,0,229.0630951
1,120,300,2,0,229.819397
1,120,300,2,0,230.5757141
1,120,300,2,0,231.332016
1,120,300,2,0,232.0883331
1,120,300,2,0,232.844635
1,120,300,2,0,233.6009522
1,120,300,2,0,234.3572693
1,120,300,2,0,235.1135712
1,120,300,2,0,235.8698883
1,120,300,2,0,236.6261902
1,120,300,2,0,237.3825073
1,120,300,2,0,238.1388245
1,120,300,2,0,238.8951263
1,120,300,2,0,239.6514435
1,120,300,2,0,240.4077454
1,120,300,2,0,241.1640625
1,120,300,2,0,241.9203644
1,120,300,2,0,242.6766815
1,120,300,2,0,243.4329987
1,120,300,2,0,244.1893158
1,120,300,2,0,244.9456482
1,120,300,2,0,245.7019653
1,120,300,2,0,246.4582977
1,120,300,2,0,247.2146301
1,120,300,2,0,247.9709473
1,120,300,2,0,248.7272797
1,120,300,2,0,249.4836121
1,120,300,2,0,250.2399292
1,120,300,2,0,250.9962616
1,120,300,2,0,251.752594
1,120,300,2,0,252.5089111
1,120,300,2,0,253.2652435
1,120,300,2,0,254.0215607
1,120,300,2,0,254.7778931
1,120,300,2,0,255.5342255
1,120,300,2,0,256.2905579
1,120,300,2,0,257.046875
1,120,300,2,0,257.8031921
1,120,300,2,0,258.5595398
1,120,300,2,0,259.3158569
1,120,300,2,0,260.0721741
1,120,300,2,0,260.8284912
1,120,300,2,0,261.5848389
1,120,300,2,0,262.341156
1,120,300,2,0,263.0974731
1,120,300,2,0,263.8537903
1,120,300,2,0,264.6101379
1,120,300,2,0,265.3664551
1,120,300,2,0,266.1227722
1,120,300,2,0,266.8791199
1,120,300,2,0,267.635437
1,120,300,2,0,268.3917542
1,120,300,2,0,269.1480713
1,120,300,2,0,269.904419
1,120,300,2,0,270.6607361
1,120,300,2,0,271.4170532
1,120,300,2,0,272.1733704
1,120,300,2,0,272.929718
1,120,300,2,0,273.6860352
